series_info_id,date,region,sub_region,facility_size,turbine_nameplate_capacity,rotor_diameter,tower_height,drive_train,forecast_type,cost_element_category,cost_element_subcategory,dollars_per_mw
8,2028Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,E.) 111-120 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,834578.27307
9,2023Q4,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,742711.88452
9,2024Q1,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,747097.44944
9,2024Q2,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,752512.70849
9,2024Q3,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,756404.55856
9,2024Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,757328.5878399999
9,2025Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,769719.23416
9,2026Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,785184.05387
9,2027Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,808077.24621
9,2028Y,UNITED STATES,HAWAII,A.) 1-4 MW,A.) 1.0-1.99 MW,E.) 131-140 METERS,D.) 101-110 METERS,GEARED,NOMINAL,BALANCE OF PLANT,TURBINE ERECTION,834578.27307
